star,number,introduce,moive_name,link,comments
8.8,154,跨度十五年的欢乐与泪水。,玩具总动员3,https://movie.douban.com/subject/1858711/,206459人评价
8.5,155,不可猜的青春迷笛。 ,猜火车,https://movie.douban.com/subject/1292528/,264399人评价
8.8,156,中国式内在的美国电影。,魂断蓝桥,https://movie.douban.com/subject/1293964/,138400人评价
8.6,157,爱上未来的你。 ,穿越时空的少女,https://movie.douban.com/subject/1937946/,199288人评价
8.8,158,沉醉在电影的情感和视听氛围中无法自拔。,请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,195466人评价
8.4,159,华太师是黄霑，吴镇宇四大才子之一。,唐伯虎点秋香,https://movie.douban.com/subject/1306249/,366009人评价
8.6,160,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,时空恋旅人,https://movie.douban.com/subject/10577869/,223087人评价
9.0,161,骨灰级歌舞片。,雨中曲,https://movie.douban.com/subject/1293460/,99643人评价
8.6,162,Balalala~~~,超能陆战队,https://movie.douban.com/subject/11026735/,405614人评价
8.6,163,诺兰就是保证。,蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,318252人评价
8.8,164,爱并不需要智商 。,我是山姆,https://movie.douban.com/subject/1306861/,113883人评价
8.7,165,有一些东西不应该被遗忘。,二十二,https://movie.douban.com/subject/26430107/,112938人评价
8.6,166,对爱的执着，可以超越一切。,人工智能,https://movie.douban.com/subject/1302827/,205470人评价
8.4,167,松鼠才是角儿。,冰川时代,https://movie.douban.com/subject/1291578/,292851人评价
8.7,168,世界离独裁只有五天。,浪潮,https://movie.douban.com/subject/2297265/,143151人评价
8.5,169,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,朗读者,https://movie.douban.com/subject/2213597/,294064人评价
8.4,170,一个单凭体香达到高潮的男人。,香水,https://movie.douban.com/subject/1760622/,296917人评价
8.6,171,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,爆裂鼓手,https://movie.douban.com/subject/25773932/,258857人评价
8.7,172,人生的N种可能性。,罗生门,https://movie.douban.com/subject/1291879/,136495人评价
8.8,173,好的剧本是，就算你猜到了结局也猜不到全部。,未麻的部屋,https://movie.douban.com/subject/1395091/,108648人评价
8.7,174,Jared Leto的腿比女人还美！,达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,190237人评价
8.7,175,只有有信仰的人才能说出事实真相。,一次别离,https://movie.douban.com/subject/5964718/,141860人评价
8.9,176,诺兰的牛逼来源于内心散发出的恐惧。,追随,https://movie.douban.com/subject/1397546/,88144人评价
8.5,177,王家卫是一种风格，张国荣是一个代表。,阿飞正传,https://movie.douban.com/subject/1305690/,221156人评价
8.7,178,坚硬的信仰。,可可西里,https://movie.douban.com/subject/1308857/,138636人评价
8.6,179,天使与魔鬼的冲撞。,撞车,https://movie.douban.com/subject/1388216/,184827人评价
8.3,180,不要企图在重复中寻找已经失去的爱。,恐怖游轮,https://movie.douban.com/subject/3011051/,355372人评价
8.6,181,做一颗让别人需要你的棋子。,战争之王,https://movie.douban.com/subject/1419936/,186087人评价
8.6,182,热血沸腾，那个低俗、性感的无耻混蛋又来了。,被解救的姜戈,https://movie.douban.com/subject/6307447/,278102人评价
8.8,183,天使保护事件始末。,地球上的星星,https://movie.douban.com/subject/2363506/,92662人评价
8.7,184,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,血战钢锯岭,https://movie.douban.com/subject/26325320/,348021人评价
8.7,185,一场没有春天的噩梦。,梦之安魂曲,https://movie.douban.com/subject/1292270/,119540人评价
8.7,186,弱者送给弱者的一刀。,牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,115891人评价
8.7,187,愿我们都不用长大，每一座城堡都能永远存在。,头脑特工队,https://movie.douban.com/subject/10533913/,248304人评价
8.8,188,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,房间,https://movie.douban.com/subject/25724855/,171571人评价
8.5,189,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,魔女宅急便,https://movie.douban.com/subject/1307811/,211070人评价
8.5,190,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,谍影重重,https://movie.douban.com/subject/1304102/,205235人评价
8.6,191,谁说王家卫镜头很晃？,谍影重重2,https://movie.douban.com/subject/1308767/,170329人评价
8.9,192,故事的反转与反转，分裂电影的始祖。,惊魂记,https://movie.douban.com/subject/1293181/,90625人评价
9.0,193,养狗三日，便会对你终其一生。,忠犬八公物语,https://movie.douban.com/subject/1959195/,65770人评价
8.4,194,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,青蛇,https://movie.douban.com/subject/1303394/,238172人评价
8.6,195,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,模仿游戏,https://movie.douban.com/subject/10463953/,276245人评价
8.5,196,爱我就给我看你的播放列表。,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,185806人评价
9.0,197,我的平常生活就是他人的幸福。,无人知晓,https://movie.douban.com/subject/1292337/,68049人评价
9.2,198,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,东京物语,https://movie.douban.com/subject/1291568/,55491人评价
8.9,199,想你时你在闹海。,哪吒闹海,https://movie.douban.com/subject/1307315/,87365人评价
8.7,200,惠及一生的美丽。,一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,133429人评价
8.5,201,,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,175716人评价
8.7,202,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,碧海蓝天,https://movie.douban.com/subject/1300960/,111983人评价
8.6,203,,完美陌生人,https://movie.douban.com/subject/26614893/,217954人评价
8.4,204,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,你的名字。,https://movie.douban.com/subject/26683290/,518663人评价
8.7,205,没有了退路，只好飞向自由。,末路狂花,https://movie.douban.com/subject/1291992/,112657人评价
8.3,206,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,源代码,https://movie.douban.com/subject/3075287/,433808人评价
8.6,207,少见的超越首部的续集，动作片中的经典。,终结者2：审判日,https://movie.douban.com/subject/1291844/,150854人评价
8.3,208,青春就是放弃和怀念。,秒速5厘米,https://movie.douban.com/subject/2043546/,321023人评价
8.5,209,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,167569人评价
8.5,210,嬉笑怒骂，调风动月。,新龙门客栈,https://movie.douban.com/subject/1292287/,197879人评价
8.7,211,天使暂时离开。,绿里奇迹,https://movie.douban.com/subject/1300374/,113721人评价
8.6,212,生命不止，摇滚不死。,海盗电台,https://movie.douban.com/subject/3007773/,172539人评价
8.5,213,科幻真正的魅力不是视觉效果能取代的。 ,这个男人来自地球,https://movie.douban.com/subject/2300586/,195552人评价
8.6,214,类型片的极致。 ,勇闯夺命岛,https://movie.douban.com/subject/1292728/,150088人评价
9.2,215,永远的小人物，伟大的卓别林。,城市之光,https://movie.douban.com/subject/1293908/,47993人评价
8.6,216,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,卡萨布兰卡,https://movie.douban.com/subject/1296753/,132422人评价
8.4,217,昆汀同学越来越变态了，比北野武还杜琪峰。,无耻混蛋,https://movie.douban.com/subject/1438652/,237213人评价
8.3,218,黑小鸭速效美白记。,初恋这件小事,https://movie.douban.com/subject/4739952/,492476人评价
8.4,219,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,变脸,https://movie.douban.com/subject/1292659/,226473人评价
8.4,220,我完全康复了。,发条橙,https://movie.douban.com/subject/1292233/,196716人评价
8.5,221,生病的E.T.皮肤的颜色就像柿子饼。,E.T. 外星人,https://movie.douban.com/subject/1294638/,163708人评价
9.1,222,最棒的西部片。,黄金三镖客,https://movie.douban.com/subject/1401118/,55292人评价
8.8,223,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,爱在午夜降临前,https://movie.douban.com/subject/10808442/,125624人评价
8.4,224,每个人的内心都是深不可测的大海。 ,美国丽人,https://movie.douban.com/subject/1292062/,196273人评价
8.6,225,出门必备：本草纲目。,荒野生存,https://movie.douban.com/subject/1905462/,134841人评价
9.1,226,最美的飞翔。,迁徙的鸟,https://movie.douban.com/subject/1292281/,53916人评价
8.6,227,迪士尼和皮克斯拿错剧本的产物。,无敌破坏王,https://movie.douban.com/subject/6534248/,197243人评价
8.8,228,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,步履不停,https://movie.douban.com/subject/2222996/,85099人评价
8.3,229,中国版《两杆大烟枪》。,疯狂的石头,https://movie.douban.com/subject/1862151/,339349人评价
8.4,230,"In memory, love lives forever...",英国病人,https://movie.douban.com/subject/1291853/,181729人评价
8.6,231,现实与童话交相辉映的旅程。,燕尾蝶,https://movie.douban.com/subject/1307793/,112048人评价
8.6,232,我不信仰上帝，但我敬畏上帝。,非常嫌疑犯,https://movie.douban.com/subject/1292214/,123711人评价
8.4,233,小成本大魅力。,彗星来的那一夜,https://movie.douban.com/subject/25807345/,196262人评价
8.9,234,热血沸腾，相当完美的娱乐拳击大餐。,勇士,https://movie.douban.com/subject/3217169/,92255人评价
8.3,235,皇上无话儿。,国王的演讲,https://movie.douban.com/subject/4023638/,360126人评价
8.5,236,每个美丽事物背后都是滴血的现实。,血钻,https://movie.douban.com/subject/1428175/,142292人评价
8.6,237,乐观比一切都有力量。,叫我第一名,https://movie.douban.com/subject/4798888/,114776人评价
8.3,238,大卫·林奇的梦境迷宫。,穆赫兰道,https://movie.douban.com/subject/1292217/,248282人评价
8.6,239,,海街日记,https://movie.douban.com/subject/25895901/,140947人评价
8.8,240,,聚焦,https://movie.douban.com/subject/25954475/,137226人评价
8.6,241,纯净原始的笑与感动。,上帝也疯狂,https://movie.douban.com/subject/1297478/,101192人评价
8.6,242,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,枪火,https://movie.douban.com/subject/1300741/,106220人评价
9.0,243,你要相信，这世上真的有爱存在，不管在什么年纪 ,我爱你,https://movie.douban.com/subject/5908478/,62193人评价
8.5,244,用剩余不多的时间，去燃烧整个生命。,遗愿清单,https://movie.douban.com/subject/1867345/,138961人评价
8.6,245,捍卫人权只是信仰，一点不妨碍其行为的残忍。,大卫·戈尔的一生,https://movie.douban.com/subject/1305725/,100822人评价
8.5,246,还原真实而残酷的战争。,黑鹰坠落,https://movie.douban.com/subject/1291824/,124245人评价
8.5,247,一个人的独角戏。,荒岛余生,https://movie.douban.com/subject/1298653/,143314人评价
8.3,248,青春的窃窃私语。 ,蓝色大门,https://movie.douban.com/subject/1308575/,283515人评价
